n_clientes:	40
n_vehiculos:	4
Distancia_entre_cada_par_de_clientes						
0	37	25	22	11	36	40	44	2	32	12	28	29	2	36	33	30	42	9	30	44	37	3	38	28	24	23	11	45	22	5	30	47	24	11	41	46	10	11	4	38
25	0	4	20	33	21	32	15	36	20	32	4	44	20	18	9	45	49	17	30	43	32	21	23	47	4	37	25	32	29	25	32	2	37	38	40	16	31	39	24	7
22	13	0	46	29	13	39	8	38	28	36	39	29	14	9	29	45	5	27	25	25	13	43	47	38	32	11	46	11	20	37	11	31	24	49	39	48	36	12	3	28
38	8	17	0	31	11	36	5	47	2	25	10	48	37	23	36	4	46	27	25	5	17	6	8	22	42	27	39	9	44	20	43	24	32	48	8	25	40	13	29	38
22	30	14	34	0	29	9	4	39	34	21	27	44	11	19	29	9	13	27	29	24	15	9	8	14	45	15	46	41	41	30	20	39	33	18	8	29	19	8	7	45
47	41	2	7	5	0	15	7	15	2	27	39	11	14	15	41	8	40	32	38	44	44	42	39	1	24	49	5	47	6	6	35	39	44	42	47	22	4	34	46	32
12	27	13	24	14	47	0	6	37	26	34	40	28	43	41	28	2	35	9	24	4	19	1	34	18	11	44	7	40	23	39	11	32	12	16	47	23	44	43	43	12
36	12	2	3	20	26	44	0	19	2	5	45	47	17	4	19	20	41	24	33	37	42	9	9	6	2	3	15	24	8	21	5	29	30	29	30	30	16	9	7	45
45	3	36	29	42	2	39	40	0	45	27	13	42	43	12	6	5	45	48	21	12	39	4	12	2	1	26	6	44	44	1	3	1	19	25	38	45	48	39	6	1
25	47	7	17	41	49	11	1	12	0	21	12	37	36	42	36	16	1	40	27	11	39	40	33	43	47	45	8	16	26	43	9	36	12	19	37	1	21	3	46	15
44	16	3	3	8	17	40	20	48	45	0	2	9	31	7	33	18	26	49	39	32	36	5	48	33	38	40	23	1	30	13	26	47	3	43	28	42	48	36	31	39
8	25	4	11	16	6	34	8	17	49	17	0	34	16	27	11	2	32	46	28	20	1	28	41	47	31	40	13	34	46	36	25	12	29	34	5	24	44	17	37	42
42	22	24	49	47	22	11	13	2	21	9	26	0	40	29	14	37	7	1	29	4	17	26	7	25	7	35	40	6	22	31	40	29	27	12	44	32	12	38	33	43
12	37	29	42	2	39	26	48	21	32	21	4	49	0	34	34	27	24	20	2	6	46	36	35	7	24	16	19	30	42	10	3	37	23	26	42	32	37	47	21	35
36	7	5	11	18	43	12	28	21	35	26	2	9	39	0	14	41	13	12	26	28	20	34	6	12	18	12	24	34	25	11	2	1	5	43	15	30	21	6	28	16
13	24	5	37	48	9	19	5	34	3	39	10	28	41	32	0	30	15	42	35	45	41	30	27	25	12	30	11	20	29	26	27	30	20	22	36	44	36	29	4	25
21	6	20	6	26	5	12	12	32	10	12	31	44	40	32	3	0	40	3	18	14	33	35	12	35	12	43	41	10	34	16	29	1	22	21	24	23	49	11	20	3
29	21	36	32	18	16	41	14	46	5	24	20	10	45	7	30	17	0	46	28	31	45	27	23	43	20	43	29	25	17	21	1	17	33	1	28	28	37	29	35	17
27	42	48	2	29	25	39	43	4	27	22	35	25	30	14	30	21	19	0	20	43	8	15	33	30	29	47	27	40	37	8	48	7	21	8	16	31	15	16	37	18
47	1	43	30	47	12	19	10	38	8	10	31	13	45	40	39	29	20	35	0	6	48	2	25	47	45	20	29	45	23	46	24	40	45	15	3	35	38	49	25	48
33	37	14	46	39	5	1	44	5	38	36	4	38	35	32	24	22	11	31	1	0	37	7	31	34	25	47	49	39	26	26	10	22	16	30	34	32	14	16	34	41
37	14	31	37	4	6	1	16	46	28	20	44	44	40	36	27	13	14	15	18	33	0	2	24	42	9	12	5	12	46	25	30	12	45	29	4	31	27	48	32	13
15	27	22	12	1	4	34	38	31	34	15	24	47	31	24	33	2	4	22	47	42	16	0	33	42	1	29	42	49	8	32	14	33	5	19	24	27	4	43	39	18
27	26	37	18	42	10	7	48	7	15	12	26	28	1	8	23	24	12	9	38	21	8	9	0	10	4	4	3	34	25	24	45	48	8	13	29	46	14	20	27	48
37	43	36	41	47	7	29	49	47	43	8	47	16	43	49	34	2	32	9	44	11	21	28	24	0	26	32	41	45	8	49	48	20	38	34	12	26	36	27	26	20
1	39	22	14	16	8	39	28	26	49	20	5	24	35	28	28	21	23	35	32	49	45	42	12	5	0	48	23	4	1	29	5	25	27	11	22	18	27	45	3	48
25	25	29	36	41	26	10	9	35	48	24	46	2	28	34	41	7	17	11	25	36	10	8	17	29	5	0	32	17	2	34	42	24	12	43	24	12	18	22	25	38
33	49	28	21	44	41	33	19	9	44	14	49	15	5	22	24	26	8	5	14	37	11	17	30	28	11	15	0	14	49	39	7	5	2	30	34	5	12	22	36	43
25	16	26	8	7	33	20	21	20	8	30	42	6	1	30	16	25	41	34	22	1	33	35	26	24	10	11	1	0	40	6	1	48	41	27	49	40	42	41	30	8
40	21	2	37	17	28	27	29	23	2	23	44	30	43	33	15	19	28	37	9	35	16	35	29	2	40	24	38	45	0	10	16	14	6	23	5	22	1	43	22	41
6	1	13	47	21	46	29	19	21	18	47	26	28	39	45	19	17	17	1	18	3	14	20	10	18	44	16	29	33	19	0	39	11	3	1	28	36	19	8	43	34
39	39	48	39	42	43	34	14	43	45	45	3	40	14	2	49	23	18	2	41	17	37	15	42	3	26	47	40	36	19	29	0	28	45	33	20	6	13	48	31	46
31	47	38	2	31	42	1	23	28	44	36	38	13	31	26	14	39	38	47	40	26	41	24	13	16	31	25	13	21	13	48	26	0	47	24	49	26	49	32	15	42
30	45	16	42	32	38	30	10	40	11	42	31	39	31	24	12	19	11	22	5	8	11	45	37	37	49	20	24	33	13	46	46	28	0	49	34	48	2	24	5	17
3	19	30	31	37	13	42	36	13	26	48	23	34	36	36	10	31	9	12	46	37	1	15	43	39	47	2	38	27	46	48	18	23	6	0	33	33	8	11	16	42
41	1	22	38	17	46	20	13	20	9	43	12	29	18	24	18	45	11	20	23	5	34	46	14	28	44	16	36	46	19	38	15	16	23	17	0	44	31	18	8	4
1	14	7	48	40	15	10	10	27	36	17	49	22	15	3	24	16	8	1	36	39	17	12	22	16	9	36	48	15	46	24	37	31	4	13	17	0	23	4	32	13
40	37	43	19	8	26	2	42	23	40	2	20	17	36	8	18	26	28	20	13	38	32	35	7	36	43	32	36	12	46	29	11	47	43	26	48	40	0	40	10	10
33	40	40	9	16	22	30	33	18	29	43	32	38	39	12	11	34	5	33	25	24	33	23	27	37	6	24	15	21	27	9	23	36	38	24	45	39	30	0	23	11
15	19	41	37	26	30	47	40	11	7	26	20	29	38	49	25	38	17	43	12	18	38	1	42	37	3	22	49	41	44	13	35	20	25	1	8	6	6	39	0	10
13	32	10	32	2	3	44	25	4	41	15	40	5	11	8	14	32	21	38	36	35	47	3	41	11	12	41	34	4	10	5	5	31	48	25	8	10	18	2	35	0
